Company,TypeName,Inches,Ram,OpSys,Weight(kg),Price_euros,Cpu_brand,Cpu_type,Cpu_speed,Memory_capacity,Memory_type,Screen,Screen_touch,Screen_type
Apple,Ultrabook,13.3,8GB,macOS,1.37,1339.69,Intel,i5,2.3,128.0,SSD,2560x1600,0,IPS Panel
Apple,Ultrabook,13.3,8GB,macOS,1.34,898.94,Intel,i5,1.8,128.0,Flash,1440x900,0,NaN
HP,Notebook,15.6,8GB,No OS,1.86,575.0,Intel,i5,2.5,256.0,SSD,1920x1080,0,Full HD
Apple,Ultrabook,15.4,16GB,macOS,1.83,2537.45,Intel,i7,2.7,512.0,SSD,2880x1800,0,IPS Panel
Apple,Ultrabook,13.3,8GB,macOS,1.37,1803.6,Intel,i5,3.1,256.0,SSD,2560x1600,0,IPS Panel
Acer,Notebook,15.6,4GB,Windows 10,2.1,400.0,AMD,A9,3.0,500.0,HDD,1366x768,0,NaN
Apple,Ultrabook,15.4,16GB,Mac OS X,2.04,2139.97,Intel,i7,2.2,256.0,Flash,2880x1800,0,IPS Panel
Apple,Ultrabook,13.3,8GB,macOS,1.34,1158.7,Intel,i5,1.8,256.0,Flash,1440x900,0,NaN
Asus,Ultrabook,14.0,16GB,Windows 10,1.3,1495.0,Intel,i7,1.8,512.0,SSD,1920x1080,0,Full HD
Acer,Ultrabook,14.0,8GB,Windows 10,1.6,770.0,Intel,i5,1.6,256.0,SSD,1920x1080,0,IPS Panel
HP,Notebook,15.6,4GB,No OS,1.86,393.9,Intel,i5,2.5,500.0,HDD,1366x768,0,NaN
HP,Notebook,15.6,4GB,No OS,1.86,344.99,Intel,i3,2.0,500.0,HDD,1920x1080,0,Full HD
Apple,Ultrabook,15.4,16GB,macOS,1.83,2439.97,Intel,i7,2.8,256.0,SSD,2880x1800,0,IPS Panel
Dell,Notebook,15.6,4GB,Windows 10,2.2,498.9,Intel,i3,2.0,256.0,SSD,1920x1080,0,Full HD
Apple,Ultrabook,12.0,8GB,macOS,0.92,1262.4,Intel,M,1.2,256.0,SSD,2304x1440,0,IPS Panel
Apple,Ultrabook,13.3,8GB,macOS,1.37,1518.55,Intel,i5,2.3,256.0,SSD,2560x1600,0,IPS Panel
Dell,Notebook,15.6,8GB,Windows 10,2.2,745.0,Intel,i7,2.7,256.0,SSD,1920x1080,0,Full HD
Apple,Ultrabook,15.4,16GB,macOS,1.83,2858.0,Intel,i7,2.9,512.0,SSD,2880x1800,0,IPS Panel
Lenovo,Notebook,15.6,8GB,No OS,2.2,499.0,Intel,i3,2.4,1000.0,HDD,1920x1080,0,Full HD
Dell,Ultrabook,13.3,8GB,Windows 10,1.22,979.0,Intel,i5,1.6,128.0,SSD,1920x1080,1,IPS Panel
Asus,Netbook,11.6,2GB,Windows 10,0.98,191.9,Intel,x5,1.44,32.0,Flash,1366x768,0,NaN
Lenovo,Gaming,15.6,8GB,Windows 10,2.5,999.0,Intel,i5,2.5,128.0,SSD,1920x1080,0,IPS Panel
HP,Notebook,15.6,4GB,No OS,1.86,258.0,AMD,E,1.5,500.0,HDD,1366x768,0,NaN
Dell,2 in 1 Convertible,13.3,8GB,Windows 10,1.62,819.0,Intel,i5,1.6,256.0,SSD,1920x1080,1,Full HD
HP,Ultrabook,15.6,8GB,Windows 10,1.91,659.0,Intel,i7,1.8,256.0,SSD,1920x1080,0,Full HD
Dell,Notebook,15.6,4GB,Windows 10,2.3,418.64,Intel,i3,2.0,1000.0,HDD,1366x768,0,NaN
Apple,Ultrabook,13.3,8GB,Mac OS X,1.35,1099.0,Intel,i5,1.6,128.0,Flash,1440x900,0,NaN
Dell,Notebook,15.6,8GB,Windows 10,2.2,800.0,Intel,i5,1.6,256.0,SSD,1920x1080,0,Full HD
Dell,Ultrabook,15.6,8GB,Windows 10,1.88,1298.0,Intel,i7,1.9,256.0,SSD,1920x1080,0,Full HD
HP,Notebook,17.3,8GB,Windows 10,2.5,896.0,Intel,i5,1.6,1000.0,HDD,1920x1080,0,Full HD
Chuwi,Notebook,15.6,4GB,Windows 10,1.89,244.99,Intel,x5,1.44,64.0,Flash,1920x1080,0,Full HD
Asus,Notebook,14.0,2GB,Windows 10,1.65,199.0,AMD,E,1.5,32.0,Flash,1366x768,0,NaN
HP,Notebook,17.3,4GB,Windows 10,2.71,439.0,AMD,A6,2.5,500.0,HDD,1920x1080,0,Full HD
Dell,Ultrabook,13.3,16GB,Windows 10,1.2,1869.0,Intel,i7,1.8,512.0,SSD,3200x1800,1,Quad HD+
Apple,Ultrabook,13.3,8GB,Mac OS X,1.35,998.0,Intel,i5,1.6,256.0,Flash,1440x900,0,NaN
Lenovo,Notebook,14.0,4GB,Windows 10,1.44,249.0,Intel,Dual,1.1,64.0,Flash,1366x768,0,NaN
Acer,Notebook,15.6,4GB,Linux,2.1,367.0,Intel,i3,2.7,1000.0,HDD,1366x768,0,NaN
Dell,Notebook,17.3,8GB,Windows 10,2.8,979.0,Intel,i5,1.6,128.0,SSD,1920x1080,0,IPS Panel
HP,Notebook,15.6,4GB,Windows 10,1.86,488.69,Intel,i5,2.5,1000.0,HDD,1366x768,0,NaN
HP,Notebook,15.6,8GB,Windows 10,2.1,879.0,Intel,i5,1.6,256.0,SSD,1920x1080,0,Full HD
Asus,Notebook,15.6,4GB,Linux,2.0,389.0,Intel,i3,2.0,1000.0,HDD,1920x1080,0,Full HD
Dell,Gaming,15.6,16GB,Windows 10,2.65,1499.0,Intel,i7,2.8,256.0,SSD,1920x1080,0,IPS Panel
Asus,Notebook,15.6,8GB,Linux,2.3,522.99,Intel,i5,2.5,1000.0,HDD,1366x768,0,NaN
Acer,Notebook,15.6,4GB,Windows 10,2.2,682.0,Intel,i5,1.6,256.0,SSD,1920x1080,0,IPS Panel
Dell,2 in 1 Convertible,17.3,12GB,Windows 10,2.77,999.0,Intel,i5,1.6,1000.0,HDD,1920x1080,1,Full HD
Apple,Ultrabook,13.3,8GB,macOS,1.37,1419.0,Intel,i5,2.0,256.0,SSD,2560x1600,0,IPS Panel
Lenovo,Notebook,15.6,4GB,No OS,2.2,369.0,Intel,i3,2.0,128.0,SSD,1366x768,0,NaN
Asus,Gaming,17.3,8GB,Windows 10,3.2,1299.0,AMD,Ryzen,3.0,256.0,SSD,1920x1080,0,Full HD
Dell,Notebook,15.6,4GB,Windows 10,2.3,639.0,Intel,i5,2.5,256.0,SSD,1920x1080,0,Full HD
Asus,Notebook,17.3,4GB,Windows 10,2.8,466.0,Intel,Quad,1.1,1000.0,HDD,1366x768,0,NaN
Lenovo,2 in 1 Convertible,10.1,4GB,Android,0.69,319.0,Intel,x5,1.44,64.0,Flash,1920x1200,1,IPS Panel
Acer,Notebook,15.6,8GB,Windows 10,2.2,841.0,Intel,i7,1.8,256.0,SSD,1920x1080,0,IPS Panel
HP,Notebook,15.6,4GB,Windows 10,1.86,398.49,AMD,A6,2.5,256.0,SSD,1920x1080,0,Full HD
HP,Notebook,13.3,8GB,Windows 10,1.49,1103.0,Intel,i7,1.8,512.0,SSD,1920x1080,0,Full HD
Acer,Notebook,15.6,4GB,Windows 10,2.4,384.0,Intel,i3,2.4,1000.0,HDD,1366x768,0,NaN
Dell,Notebook,15.6,8GB,Windows 10,2.13,767.8,Intel,i7,1.8,256.0,SSD,1920x1080,0,Full HD
HP,Notebook,15.6,4GB,Windows 10,1.91,439.0,Intel,i3,2.0,128.0,SSD,1920x1080,0,Full HD
Asus,Notebook,15.6,4GB,Windows 10,2.0,586.19,Intel,i5,2.5,256.0,SSD,1366x768,0,NaN
MSI,Gaming,17.3,16GB,Windows 10,2.43,2449.0,Intel,i7,2.8,256.0,SSD,1920x1080,0,Full HD
Asus,Notebook,15.6,4GB,Linux,2.0,415.0,Intel,i3,2.0,256.0,SSD,1920x1080,0,Full HD
Dell,Notebook,17.3,16GB,Windows 10,2.8,1299.0,Intel,i7,1.8,256.0,SSD,1920x1080,0,Full HD
Dell,Ultrabook,14.0,8GB,Windows 10,1.7,879.0,Intel,i5,1.6,256.0,SSD,1920x1080,0,Full HD
Lenovo,Notebook,14.0,8GB,No OS,1.7,599.0,Intel,i3,2.7,256.0,SSD,1920x1080,0,IPS Panel
Asus,Notebook,14.0,8GB,Windows 10,1.4,941.0,Intel,i5,1.6,256.0,SSD,1920x1080,0,Full HD
HP,Notebook,15.6,8GB,Windows 10,1.86,690.0,Intel,i5,2.5,256.0,SSD,1920x1080,0,Full HD
